team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,league
Barcelona,27,25.0,67.0,22,242,"1,980",22.0,59,42,101,56,3,4,40,2,55.2,52.0,43.2,95.2,486,1237,2.68,1.91,4.59,2.55,4.45,2.51,1.96,4.47,2.37,4.33,La Liga
Betis,34,27.7,51.2,22,242,"1,980",22.0,23,15,38,20,3,4,49,3,30.8,27.7,21.4,49.1,342,836,1.05,0.68,1.73,0.91,1.59,1.40,0.97,2.37,1.26,2.23,La Liga
Celta Vigo,30,27.6,53.3,22,242,"1,980",22.0,30,21,51,28,2,3,52,5,28.9,26.5,21.8,48.4,395,893,1.36,0.95,2.32,1.27,2.23,1.31,0.99,2.31,1.21,2.20,La Liga
Espanyol,26,26.0,39.4,22,242,"1,980",22.0,20,16,36,19,1,1,59,0,18.2,17.4,13.7,31.1,289,591,0.91,0.73,1.64,0.86,1.59,0.83,0.62,1.45,0.79,1.41,La Liga
Getafe,28,27.9,43.3,22,242,"1,980",22.0,17,9,26,13,4,4,67,1,21.2,18.1,12.9,31.1,236,596,0.77,0.41,1.18,0.59,1.00,0.96,0.59,1.55,0.82,1.41,La Liga
Girona,28,27.8,57.5,22,242,"1,980",22.0,30,22,52,27,3,4,50,1,28.2,25.2,20.4,45.5,436,1048,1.36,1.00,2.36,1.23,2.23,1.28,0.93,2.21,1.14,2.07,La Liga
Las Palmas,29,27.8,52.0,22,242,"1,980",22.0,25,18,43,24,1,2,64,2,21.9,20.3,16.4,36.7,284,710,1.14,0.82,1.95,1.09,1.91,1.00,0.75,1.74,0.92,1.67,La Liga
Leganés,23,28.4,41.0,22,242,"1,980",22.0,19,17,36,17,2,4,45,4,17.3,14.2,10.8,25.0,220,525,0.86,0.77,1.64,0.77,1.55,0.79,0.49,1.28,0.64,1.14,La Liga
Mallorca,27,29.1,46.1,22,242,"1,980",22.0,18,13,31,16,2,2,51,6,23.3,21.7,16.2,38.0,295,696,0.82,0.59,1.41,0.73,1.32,1.06,0.74,1.80,0.99,1.73,La Liga
Osasuna,23,28.0,45.7,22,242,"1,980",22.0,25,14,39,21,4,4,56,0,22.6,19.7,15.5,35.1,337,703,1.14,0.64,1.77,0.95,1.59,1.03,0.70,1.73,0.89,1.60,La Liga
Rayo Vallecano,23,29.6,49.6,22,242,"1,980",22.0,24,18,42,24,0,0,58,2,26.0,26.0,21.0,47.1,325,769,1.09,0.82,1.91,1.09,1.91,1.18,0.96,2.14,1.18,2.14,La Liga
Real Madrid,26,27.5,61.6,22,242,"1,980",22.0,50,37,87,42,8,10,34,2,44.3,36.8,31.4,68.2,554,1168,2.27,1.68,3.95,1.91,3.59,2.01,1.43,3.44,1.67,3.10,La Liga
Real Sociedad,27,26.0,56.1,22,242,"1,980",22.0,17,13,30,15,2,2,56,1,26.2,24.6,20.5,45.1,407,852,0.77,0.59,1.36,0.68,1.27,1.19,0.93,2.12,1.12,2.05,La Liga
Sevilla,33,26.7,53.5,22,242,"1,980",22.0,21,18,39,20,1,2,62,5,24.6,23.0,17.1,40.1,356,676,0.95,0.82,1.77,0.91,1.73,1.12,0.78,1.89,1.05,1.82,La Liga
Valencia,31,25.1,46.8,22,242,"1,980",22.0,22,13,35,19,3,3,49,1,23.0,20.7,16.0,36.6,326,735,1.00,0.59,1.59,0.86,1.45,1.05,0.73,1.77,0.94,1.66,La Liga
Valladolid,28,26.2,42.5,22,242,"1,980",22.0,15,9,24,12,3,3,62,3,19.2,16.9,14.1,31.0,272,566,0.68,0.41,1.09,0.55,0.95,0.87,0.64,1.51,0.77,1.41,La Liga
Villarreal,26,27.7,48.5,22,242,"1,980",22.0,42,26,68,37,5,7,61,2,40.6,34.9,28.7,63.6,388,911,1.91,1.18,3.09,1.68,2.86,1.84,1.30,3.15,1.59,2.89,La Liga
Blackburn,29,27.7,47.2,31,341,"2,790",31.0,34,25,59,31,3,3,72,2,37.8,35.5,26.4,61.9,398,895,1.10,0.81,1.90,1.00,1.81,1.22,0.85,2.07,1.14,2.00,Championship
Bristol City,23,26.1,49.3,30,330,"2,700",30.0,38,26,64,36,2,2,56,3,39.2,37.6,28.2,65.7,458,1052,1.27,0.87,2.13,1.20,2.07,1.31,0.94,2.24,1.25,2.19,Championship
Burnley,35,25.3,55.6,31,341,"2,790",31.0,35,22,57,32,3,3,58,2,32.7,30.3,21.5,51.8,554,1144,1.13,0.71,1.84,1.03,1.74,1.05,0.69,1.75,0.98,1.67,Championship
Cardiff City,29,27.9,46.5,30,330,"2,700",30.0,31,20,51,31,0,1,55,2,30.1,29.1,20.2,49.4,422,969,1.03,0.67,1.70,1.03,1.70,1.00,0.67,1.68,0.97,1.65,Championship
Coventry City,25,25.6,54.3,31,341,"2,790",31.0,40,30,70,39,1,2,48,0,47.2,45.6,36.0,81.6,541,1184,1.29,0.97,2.26,1.26,2.23,1.52,1.16,2.68,1.47,2.63,Championship
